name,ward,lat,lng,zone,railway_stations,metro_stations,bus_stops,colleges,schools,offices,malls,hospitals,parking_lots,tourist_spots,existing_cafes,existing_restaurants,existing_gyms,restaurant_count,restaurant_rating,restaurant_viability,restaurant_viability_norm,cafe_count,cafe_rating,cafe_viability,cafe_viability_norm,gym_count,gym_rating,gym_viability,gym_viability_norm,pharmacy_count,pharmacy_rating,pharmacy_viability,pharmacy_viability_norm,beauty_salon_count,beauty_salon_rating,beauty_salon_viability,beauty_salon_viability_norm,store_count,store_rating,store_viability,store_viability_norm,school_count,school_rating,school_viability,school_viability_norm,lodging_count,lodging_rating,lodging_viability,lodging_viability_norm,bar_count,bar_rating,bar_viability,bar_viability_norm,night_club_count,night_club_rating,night_club_viability,night_club_viability_norm,reckoner_rate,est_rent_sqft,rent_tier,overall_footfall,morning_footfall,afternoon_footfall,evening_footfall,office_hr_footfall,weekend_footfall,norm_offices,norm_colleges,norm_rent,cluster_id,cluster_label,restaurant_saturation,cafe_saturation,gym_saturation,pharmacy_saturation,beauty_salon_saturation,store_saturation,school_saturation,lodging_saturation,bar_saturation,night_club_saturation,footfall_multiplier,restaurant_est_revenue_lakhs,restaurant_est_rent_cost_lakhs,restaurant_est_roi_pct,cafe_est_revenue_lakhs,cafe_est_rent_cost_lakhs,cafe_est_roi_pct,gym_est_revenue_lakhs,gym_est_rent_cost_lakhs,gym_est_roi_pct,pharmacy_est_revenue_lakhs,pharmacy_est_rent_cost_lakhs,pharmacy_est_roi_pct,beauty_salon_est_revenue_lakhs,beauty_salon_est_rent_cost_lakhs,beauty_salon_est_roi_pct,store_est_revenue_lakhs,store_est_rent_cost_lakhs,store_est_roi_pct,school_est_revenue_lakhs,school_est_rent_cost_lakhs,school_est_roi_pct,lodging_est_revenue_lakhs,lodging_est_rent_cost_lakhs,lodging_est_roi_pct,bar_est_revenue_lakhs,bar_est_rent_cost_lakhs,bar_est_roi_pct,night_club_est_revenue_lakhs,night_club_est_rent_cost_lakhs,night_club_est_roi_pct,restaurant_market_tag,cafe_market_tag,gym_market_tag,pharmacy_market_tag,beauty_salon_market_tag,store_market_tag,school_market_tag,lodging_market_tag,bar_market_tag,night_club_market_tag,restaurant_expected_count,restaurant_gap,cafe_expected_count,cafe_gap,gym_expected_count,gym_gap,pharmacy_expected_count,pharmacy_gap,beauty_salon_expected_count,beauty_salon_gap,store_expected_count,store_gap,school_expected_count,school_gap,lodging_expected_count,lodging_gap,bar_expected_count,bar_gap,night_club_expected_count,night_club_gap
Oshiwara,K/W,19.1464,72.829,Western Suburbs,4,8,14,8,24,42,14,36,2,38,18,12,8,33,3.9,453.84,40.0,13,4.4,150.95,31.9,9,4.3,89.11,45.6,34,4.5,543.97,87.9,13,4.5,154.38,46.6,76,4.7,1551.61,89.3,9,3.6,74.6,50.5,10,4.5,107.91,55.2,3,4.4,18.3,12.7,0,0.0,0.0,0.0,42000,210.0,premium,31.4,27.8,39.8,35.3,30.6,35.3,44.680851063829785,22.22222222222222,56.00000000000001,0,Corporate Hub,1.019,0.401,0.278,1.049,0.401,2.346,0.278,0.309,0.093,0.0,1.0040128410914928,2.41,1.68,43.5,1.12,1.05,6.7,1.14,3.15,-63.8,3.53,0.63,460.3,0.94,0.84,11.9,4.93,1.26,291.3,4.06,4.2,-3.3,3.88,6.3,-38.4,0.64,1.47,-56.5,0.0,2.52,-100.0,Growing,Blue Ocean,Growing,Growing,Blue Ocean,Growing,Growing,Growing,Low Demand,Low Demand,22.9,-10.1,10.5,-2.5,6.1,-2.9,13.2,-20.8,10.6,-2.4,36.8,-39.2,6.0,-3.0,3.6,-6.4,2.1,-0.9,1.2,1.2
Powai,L,19.1176,72.906,Western Suburbs,0,0,26,6,6,4,18,10,4,76,24,40,4,55,3.5,774.88,68.3,3,4.4,18.3,3.9,1,4.2,2.91,1.5,31,4.5,483.47,78.1,22,3.9,269.03,81.3,34,3.7,447.26,25.7,1,3.8,2.63,1.8,15,3.8,158.04,80.9,4,4.4,28.33,19.6,4,4.5,28.97,93.8,45000,225.0,premium,17.1,10.2,35.8,36.4,12.5,45.8,4.25531914893617,16.666666666666664,60.0,1,Mixed-Use Locality,3.039,0.166,0.055,1.713,1.215,1.878,0.055,0.829,0.221,0.221,0.774478330658106,3.17,1.8,76.1,0.11,1.12,-90.2,0.03,3.38,-99.1,2.42,0.68,255.9,1.26,0.9,40.0,1.09,1.35,-19.3,0.11,4.5,-97.6,4.39,6.75,-35.0,0.76,1.58,-51.9,4.72,2.7,74.8,Growing,Low Demand,Low Demand,Growing,Growing,Low Demand,Low Demand,Growing,Growing,Growing,23.2,-31.8,12.8,9.8,6.0,5.0,21.1,-9.9,12.0,-10.0,46.6,12.6,7.5,6.5,6.8,-8.2,5.0,1.0,2.2,-1.8
Chandivali,L,19.1062,72.9073,Western Suburbs,0,0,0,4,4,4,16,6,0,42,0,0,0,34,4.2,507.7,44.7,3,4.7,19.55,4.1,12,3.9,120.04,61.4,33,4.2,488.75,78.9,10,4.1,98.31,29.7,27,4.3,386.87,22.3,12,4.3,132.35,89.6,3,4.3,17.88,9.1,1,3.6,2.5,1.7,3,4.7,19.55,63.3,38000,190.0,premium,13.8,3.9,29.9,29.8,2.1,37.3,4.25531914893617,11.11111111111111,50.66666666666667,1,Mixed-Use Locality,2.297,0.203,0.811,2.23,0.676,1.824,0.811,0.203,0.068,0.203,0.7215088282504013,1.94,1.52,27.6,0.1,0.95,-89.5,1.11,2.85,-61.1,2.28,0.57,300.0,0.43,0.76,-43.4,0.88,1.14,-22.8,5.17,3.8,36.1,0.46,5.7,-91.9,0.06,1.33,-95.5,2.97,2.28,30.3,Growing,Low Demand,Growing,Growing,Growing,Low Demand,Growing,Low Demand,Low Demand,Growing,26.2,-7.8,15.5,12.5,5.9,-6.1,22.6,-10.4,15.5,5.5,42.5,15.5,5.4,-6.6,4.4,1.4,2.6,1.6,2.1,-0.9
Sakinaka,L,19.0967,72.8905,Western Suburbs,4,8,10,0,12,0,6,24,0,88,0,4,0,12,4.1,126.2,11.1,3,3.6,14.97,3.2,13,4.6,157.82,80.7,24,4.8,370.81,59.9,22,4.7,324.21,97.9,63,4.0,1048.04,60.3,1,4.8,3.33,2.3,13,3.9,133.8,68.5,4,4.6,29.61,20.5,1,3.9,2.7,8.7,30000,150.0,moderate,12.2,4.7,15.3,19.2,6.7,20.6,0.0,0.0,40.0,1,Mixed-Use Locality,0.909,0.227,0.985,1.818,1.667,4.773,0.076,0.985,0.303,0.076,0.6958266452648475,0.46,1.2,-61.7,0.08,0.75,-89.3,1.4,2.25,-37.8,1.67,0.45,271.1,1.36,0.6,126.7,2.31,0.9,156.7,0.13,3.0,-95.7,3.34,4.5,-25.8,0.71,1.05,-32.4,0.39,1.8,-78.3,Low Demand,Low Demand,Growing,Growing,Growing,Growing,Low Demand,Growing,Growing,Low Demand,27.0,15.0,14.6,11.6,5.8,-7.2,24.4,0.4,14.4,-7.6,40.0,-23.0,6.5,5.5,4.0,-9.0,5.4,1.4,2.2,1.2
Vikhroli (West),L,19.1063,72.9245,Eastern Suburbs,2,0,18,0,10,12,8,6,2,26,0,0,0,10,4.1,98.31,8.7,12,3.6,110.81,23.4,2,4.7,10.33,5.3,17,4.6,226.03,36.5,14,3.6,136.49,41.2,58,3.8,898.69,51.7,7,3.8,55.31,37.4,8,4.0,70.31,36.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,28000,140.0,moderate,11.7,9.2,17.9,17.7,14.0,18.1,12.76595744680851,0.0,37.333333333333336,1,Mixed-Use Locality,0.787,0.945,0.157,1.339,1.102,4.567,0.551,0.63,0.0,0.0,0.687800963081862,0.36,1.12,-67.9,0.56,0.7,-20.0,0.09,2.1,-95.7,1.0,0.42,138.1,0.57,0.56,1.8,1.96,0.84,133.3,2.06,2.8,-26.4,1.73,4.2,-58.8,0.0,0.98,-100.0,0.0,1.68,-100.0,Low Demand,Growing,Low Demand,Growing,Growing,Growing,Growing,Growing,Low Demand,Low Demand,16.5,6.5,14.5,2.5,5.0,3.0,20.8,3.8,11.2,-2.8,32.5,-25.5,5.4,-1.6,3.0,-5.0,2.8,2.8,2.2,2.2
Vikhroli (East),L,19.1091,72.9352,Eastern Suburbs,2,0,4,4,6,0,2,24,0,6,0,0,0,36,4.8,623.97,55.0,20,4.1,249.65,52.7,8,3.8,66.8,34.2,18,3.7,196.1,31.7,7,4.0,58.22,17.6,58,3.8,898.69,51.7,6,4.6,53.71,36.4,4,4.8,30.9,15.8,7,4.7,68.41,47.3,2,3.8,8.35,27.0,26000,130.0,moderate,4.4,3.5,4.6,3.8,2.0,6.7,0.0,11.11111111111111,34.66666666666667,3,Mixed-Use Locality,6.667,3.704,1.481,3.333,1.296,10.741,1.111,0.741,1.296,0.37,0.5706260032102729,1.88,1.04,80.8,1.05,0.65,61.5,0.49,1.95,-74.9,0.72,0.39,84.6,0.2,0.52,-61.5,1.62,0.78,107.7,1.66,2.6,-36.2,0.63,3.9,-83.8,1.35,0.91,48.4,1.0,1.56,-35.9,Growing,Growing,Growing,Growing,Low Demand,Growing,Growing,Growing,Growing,Growing,15.8,-20.2,8.8,-11.2,6.6,-1.4,11.2,-6.8,7.8,0.8,31.5,-26.5,4.9,-1.1,4.8,0.8,5.2,-1.8,1.4,-0.6
Kanjurmarg,L,19.121,72.9415,Eastern Suburbs,0,0,6,4,6,2,2,6,0,4,0,0,0,11,4.5,123.0,10.8,15,3.8,158.04,33.3,9,4.1,84.97,43.5,13,4.5,154.38,24.9,3,4.0,16.64,5.0,48,4.3,803.27,46.2,3,4.5,18.71,12.7,8,4.2,73.83,37.8,6,4.3,50.2,34.7,1,4.4,3.05,9.9,28000,140.0,moderate,4.4,4.3,5.1,3.9,3.5,6.5,2.127659574468085,11.11111111111111,37.333333333333336,3,Mixed-Use Locality,2.037,2.778,1.667,2.407,0.556,8.889,0.556,1.481,1.111,0.185,0.5706260032102729,0.37,1.12,-67.0,0.67,0.7,-4.3,0.62,2.1,-70.5,0.57,0.42,35.7,0.06,0.56,-89.3,1.45,0.84,72.6,0.58,2.8,-79.3,1.51,4.2,-64.0,0.99,0.98,1.0,0.37,1.68,-78.0,Low Demand,Growing,Growing,Low Demand,Low Demand,Growing,Low Demand,Growing,Growing,Growing,27.0,16.0,11.4,-3.6,4.2,-4.8,14.4,1.4,6.4,3.4,33.0,-15.0,4.9,1.9,5.6,-2.4,3.8,-2.2,1.8,0.8
Bhandup (West),N,19.1453,72.9416,Eastern Suburbs,2,0,6,6,6,0,4,34,0,10,2,0,0,20,4.5,274.01,24.1,5,3.5,31.36,6.6,10,4.6,110.3,56.4,7,3.7,53.86,8.7,10,3.8,91.12,27.5,30,4.1,422.38,24.3,8,4.1,72.07,48.8,1,3.7,2.56,1.3,8,4.6,80.86,55.9,1,3.9,2.7,8.7,24000,120.0,moderate,6.2,5.0,8.5,7.3,2.8,12.1,0.0,16.666666666666664,32.0,3,Mixed-Use Locality,2.778,0.694,1.389,0.972,1.389,4.167,1.111,0.139,1.111,0.139,0.5995184590690209,0.87,0.96,-9.4,0.14,0.6,-76.7,0.85,1.8,-52.8,0.21,0.36,-41.7,0.33,0.48,-31.2,0.8,0.72,11.1,2.34,2.4,-2.5,0.05,3.6,-98.6,1.68,0.84,100.0,0.34,1.44,-76.4,Growing,Low Demand,Growing,Low Demand,Low Demand,Low Demand,Growing,Low Demand,Growing,Low Demand,14.6,-5.4,8.9,3.9,6.9,-3.1,15.5,8.5,7.1,-2.9,37.1,7.1,3.6,-4.4,3.0,2.0,5.9,-2.1,1.6,0.6
Bhandup (East),N,19.1474,72.9488,Eastern Suburbs,2,0,4,2,0,0,4,4,0,6,0,0,0,16,4.6,208.52,18.4,11,3.5,95.67,20.2,10,3.6,86.32,44.2,8,3.7,65.04,10.5,13,3.6,123.51,37.3,36,4.3,558.97,32.2,7,3.9,56.77,38.4,1,3.6,2.5,1.3,6,4.5,52.54,36.3,3,3.8,15.8,51.1,22000,110.0,moderate,3.5,2.4,7.1,6.9,2.0,9.4,0.0,5.555555555555555,29.33333333333333,3,Mixed-Use Locality,3.556,2.444,2.222,1.778,2.889,8.0,1.556,0.222,1.333,0.667,0.5561797752808989,0.61,0.88,-30.7,0.39,0.55,-29.1,0.61,1.65,-63.0,0.23,0.33,-30.3,0.41,0.44,-6.8,0.98,0.66,48.5,1.71,2.2,-22.3,0.05,3.3,-98.5,1.01,0.77,31.2,1.85,1.32,40.2,Low Demand,Saturated,Growing,Low Demand,Growing,Growing,Growing,Low Demand,Growing,Growing,18.9,2.9,13.8,2.8,5.4,-4.6,14.6,6.6,7.5,-5.5,36.1,0.1,4.2,-2.8,5.8,4.8,4.2,-1.8,0.9,-2.1
Nahur,N,19.1325,72.9343,Eastern Suburbs,2,0,0,4,4,8,8,10,0,38,0,6,0,12,4.2,129.27,11.4,14,4.5,170.61,36.0,5,4.6,41.21,21.1,25,4.6,374.68,60.5,11,3.8,103.87,31.4,33,4.6,535.3,30.8,3,4.7,19.55,13.2,4,4.6,29.61,15.1,0,0.0,0.0,0.0,2,4.0,8.79,28.4,24000,120.0,moderate,10.5,6.1,18.6,18.1,4.7,21.5,8.51063829787234,11.11111111111111,32.0,1,Mixed-Use Locality,1.043,1.217,0.435,2.174,0.957,2.87,0.261,0.348,0.0,0.174,0.6685393258426966,0.46,0.96,-52.1,0.84,0.6,40.0,0.35,1.8,-80.6,1.62,0.36,350.0,0.42,0.48,-12.5,1.13,0.72,56.9,0.71,2.4,-70.4,0.71,3.6,-80.3,0.0,0.84,-100.0,1.23,1.44,-14.6,Low Demand,Growing,Low Demand,Growing,Growing,Growing,Low Demand,Growing,Low Demand,Growing,17.2,5.2,12.1,-1.9,8.0,3.0,17.9,-7.1,11.0,0.0,41.0,8.0,6.0,3.0,2.5,-1.5,3.9,3.9,1.8,-0.2
Mulund (West),T,19.1735,72.9484,Eastern Suburbs,6,2,36,4,38,18,12,96,2,48,2,8,6,26,4.4,377.04,33.2,3,4.6,19.13,4.0,5,4.4,39.42,20.2,19,4.8,273.21,44.1,9,4.0,82.89,25.0,30,4.2,432.68,24.9,6,4.7,54.87,37.1,4,3.9,25.11,12.8,6,4.5,52.54,36.3,2,3.5,7.69,24.9,30000,150.0,moderate,25.9,18.9,28.6,27.8,25.8,30.2,19.148936170212767,11.11111111111111,40.0,1,Mixed-Use Locality,0.967,0.112,0.186,0.706,0.335,1.115,0.223,0.149,0.223,0.074,0.9157303370786516,1.82,1.2,51.7,0.13,0.75,-82.7,0.46,2.25,-79.6,1.62,0.45,260.0,0.46,0.6,-23.3,1.25,0.9,38.9,2.72,3.0,-9.3,0.82,4.5,-81.8,1.66,1.05,58.1,1.48,1.8,-17.8,Growing,Low Demand,Low Demand,Blue Ocean,Low Demand,Low Demand,Growing,Low Demand,Growing,Growing,26.0,0.0,10.2,7.2,5.9,0.9,13.4,-5.6,11.9,2.9,34.0,4.0,5.9,-0.1,8.0,4.0,2.1,-3.9,0.5,-1.5
Mulund (East),T,19.1756,72.9633,Eastern Suburbs,4,0,14,8,24,18,12,54,2,34,0,6,2,33,4.1,477.12,42.0,3,4.2,17.47,3.7,8,3.6,63.28,32.4,14,3.9,147.86,23.9,12,4.3,132.35,40.0,56,4.1,928.28,53.4,2,4.2,9.23,6.2,7,3.9,56.77,29.0,4,4.4,28.33,19.6,0,0.0,0.0,0.0,28000,140.0,moderate,22.0,15.8,28.8,26.1,16.1,31.0,19.148936170212767,22.22222222222222,37.333333333333336,1,Mixed-Use Locality,1.435,0.13,0.348,0.609,0.522,2.435,0.087,0.304,0.174,0.0,0.8531300160513644,2.15,1.12,92.0,0.11,0.7,-84.3,0.69,2.1,-67.1,0.82,0.42,95.2,0.68,0.56,21.4,2.51,0.84,198.8,0.42,2.8,-85.0,1.73,4.2,-58.8,0.84,0.98,-14.3,0.0,1.68,-100.0,Growing,Low Demand,Growing,Low Demand,Blue Ocean,Growing,Low Demand,Growing,Growing,Low Demand,25.6,-7.4,11.0,8.0,5.9,-2.1,14.5,0.5,9.8,-2.2,32.8,-23.2,6.1,4.1,4.8,-2.2,3.0,-1.0,1.1,1.1
Nahur West,N,19.142,72.9289,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.8,246.67,21.7,14,3.7,140.28,29.6,3,4.0,16.64,8.5,24,3.9,301.29,48.7,5,3.9,34.94,10.6,24,3.8,293.56,16.9,6,3.7,43.2,29.2,2,3.7,8.13,4.2,7,4.4,64.05,44.3,3,3.8,15.8,51.1,24000,120.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3,Mixed-Use Locality,21.0,14.0,3.0,24.0,5.0,24.0,6.0,2.0,7.0,3.0,0.5,0.65,0.96,-32.3,0.52,0.6,-13.3,0.11,1.8,-93.9,0.97,0.36,169.4,0.11,0.48,-77.1,0.46,0.72,-36.1,1.17,2.4,-51.3,0.15,3.6,-95.8,1.11,0.84,32.1,1.66,1.44,15.3,Saturated,Growing,Saturated,Growing,Saturated,Saturated,Growing,Saturated,Growing,Growing,22.1,1.1,9.2,-4.8,5.8,2.8,12.6,-11.4,6.2,1.2,33.1,9.1,4.9,-1.1,4.2,2.2,4.6,-2.4,1.4,-1.6
Tagore Nagar,M/E,19.0784,72.9207,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3.9,506.97,44.7,16,4.6,208.52,44.0,1,4.6,3.19,1.6,8,4.6,80.86,13.1,7,4.1,59.68,18.0,29,4.8,473.45,27.2,5,3.7,33.15,22.4,2,4.4,9.67,4.9,5,4.5,40.31,27.9,2,4.2,9.23,29.9,24000,120.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3,Mixed-Use Locality,36.0,16.0,1.0,8.0,7.0,29.0,5.0,2.0,5.0,2.0,0.5,1.34,0.96,39.6,0.77,0.6,28.3,0.02,1.8,-98.9,0.26,0.36,-27.8,0.18,0.48,-62.5,0.75,0.72,4.2,0.9,2.4,-62.5,0.17,3.6,-95.3,0.7,0.84,-16.7,0.97,1.44,-32.6,Growing,Growing,Low Demand,Saturated,Saturated,Saturated,Growing,Saturated,Growing,Growing,20.2,-15.8,9.0,-7.0,6.0,5.0,14.6,6.6,6.0,-1.0,32.5,3.5,5.0,0.0,4.2,2.2,4.9,-0.1,1.5,-0.5
Asalpha,L,19.0869,72.8984,Eastern Suburbs,6,8,14,8,2,6,12,94,0,88,0,0,0,27,4.1,368.88,32.5,15,3.6,149.72,31.6,5,4.3,38.52,19.7,20,3.9,237.47,38.4,7,4.6,66.96,20.2,40,3.6,534.75,30.8,4,3.8,24.46,16.6,9,4.0,82.89,42.4,6,3.7,43.2,29.9,0,0.0,0.0,0.0,24000,120.0,moderate,17.2,12.9,28.6,29.8,11.9,36.6,6.382978723404255,22.22222222222222,32.0,1,Mixed-Use Locality,1.484,0.824,0.275,1.099,0.385,2.198,0.22,0.495,0.33,0.0,0.776083467094703,1.51,0.96,57.3,0.86,0.6,43.3,0.38,1.8,-78.9,1.19,0.36,230.6,0.31,0.48,-35.4,1.31,0.72,81.9,1.03,2.4,-57.1,2.3,3.6,-36.1,1.16,0.84,38.1,0.0,1.44,-100.0,Growing,Growing,Low Demand,Growing,Low Demand,Growing,Low Demand,Growing,Growing,Low Demand,27.6,0.6,13.0,-2.0,7.8,2.8,14.0,-6.0,10.9,3.9,50.5,10.5,6.1,2.1,4.4,-4.6,4.5,-1.5,1.8,1.8
Vidyavihar,L,19.0817,72.8966,Eastern Suburbs,2,0,6,10,2,28,12,48,0,84,0,8,0,6,3.7,43.2,3.8,17,4.1,201.46,42.5,5,3.6,32.25,16.5,18,4.4,233.2,37.7,3,4.3,17.88,5.4,40,4.5,668.44,38.5,5,4.5,40.31,27.3,1,3.5,2.43,1.2,5,4.1,36.73,25.4,1,3.6,2.5,8.1,30000,150.0,moderate,20.8,19.1,35.9,33.2,17.7,37.3,29.78723404255319,27.77777777777778,40.0,1,Mixed-Use Locality,0.275,0.78,0.229,0.826,0.138,1.835,0.229,0.046,0.229,0.046,0.833868378812199,0.19,1.2,-84.2,1.24,0.75,65.3,0.34,2.25,-84.9,1.26,0.45,180.0,0.09,0.6,-85.0,1.77,0.9,96.7,1.82,3.0,-39.3,0.07,4.5,-98.4,1.06,1.05,1.0,0.44,1.8,-75.6,Low Demand,Growing,Low Demand,Growing,Low Demand,Blue Ocean,Growing,Low Demand,Growing,Low Demand,26.5,20.5,13.2,-3.8,8.4,3.4,18.1,0.1,13.4,10.4,53.6,13.6,6.4,1.4,3.9,2.9,3.1,-1.9,2.5,1.5
Garodia Nagar,N,19.0937,72.9095,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.9,176.79,15.6,11,4.5,123.0,26.0,4,3.7,23.82,12.2,10,3.6,86.32,13.9,9,4.5,93.25,28.2,40,3.9,579.32,33.3,6,4.7,54.87,37.1,1,4.6,3.19,1.6,5,4.0,35.84,24.8,2,3.7,8.13,26.3,24000,120.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3,Mixed-Use Locality,16.0,11.0,4.0,10.0,9.0,40.0,6.0,1.0,5.0,2.0,0.5,0.47,0.96,-51.0,0.46,0.6,-23.3,0.15,1.8,-91.7,0.28,0.36,-22.2,0.28,0.48,-41.7,0.92,0.72,27.8,1.48,2.4,-38.3,0.06,3.6,-98.3,0.62,0.84,-26.2,0.85,1.44,-41.0,Saturated,Growing,Saturated,Saturated,Growing,Growing,Growing,Saturated,Growing,Growing,22.8,6.8,9.6,-1.4,5.6,1.6,14.4,4.4,5.8,-3.2,31.1,-8.9,4.9,-1.1,4.4,3.4,4.9,-0.1,1.5,-0.5
Pant Nagar,N,19.0898,72.9047,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3.9,384.68,33.9,4,4.1,26.39,5.6,4,3.9,25.11,12.8,15,3.7,153.88,24.9,5,4.7,42.11,12.7,36,4.2,545.97,31.4,7,4.0,58.22,39.4,8,3.7,65.04,33.3,6,4.1,47.87,33.1,3,4.4,18.3,59.2,24000,120.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3,Mixed-Use Locality,29.0,4.0,4.0,15.0,5.0,36.0,7.0,8.0,6.0,3.0,0.5,1.02,0.96,6.3,0.1,0.6,-83.3,0.16,1.8,-91.1,0.5,0.36,38.9,0.13,0.48,-72.9,0.86,0.72,19.4,1.58,2.4,-34.2,1.17,3.6,-67.5,0.83,0.84,-1.2,1.92,1.44,33.3,Growing,Saturated,Saturated,Saturated,Saturated,Growing,Growing,Growing,Growing,Growing,21.1,-7.9,10.5,6.5,5.6,1.6,13.8,-1.2,6.2,1.2,31.6,-4.4,4.8,-2.2,3.5,-4.5,4.8,-1.2,1.4,-1.6
Tilaknagar,M/E,19.0596,72.9098,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4.3,500.39,44.1,17,4.3,211.29,44.6,5,3.7,33.15,17.0,6,4.3,50.2,8.1,8,4.3,75.58,22.8,46,4.8,850.11,48.9,1,4.2,2.91,2.0,10,4.7,112.7,57.7,1,4.5,3.12,2.2,3,4.2,17.47,56.5,28000,140.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,3,Mixed-Use Locality,33.0,17.0,5.0,6.0,8.0,46.0,1.0,10.0,1.0,3.0,0.5,1.32,1.12,17.9,0.78,0.7,11.4,0.21,2.1,-90.0,0.16,0.42,-61.9,0.23,0.56,-58.9,1.34,0.84,59.5,0.08,2.8,-97.1,2.02,4.2,-51.9,0.06,0.98,-93.9,1.84,1.68,9.5,Growing,Growing,Saturated,Saturated,Saturated,Growing,Saturated,Growing,Low Demand,Growing,22.6,-10.4,10.8,-6.2,5.4,0.4,14.0,8.0,6.6,-1.4,31.5,-14.5,5.4,4.4,4.0,-6.0,5.5,4.5,1.5,-1.5
Chembur Colony,M/E,19.0537,72.8942,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.5,123.0,10.8,17,4.1,201.46,42.5,8,4.4,77.34,39.6,14,4.0,151.65,24.5,4,3.9,25.11,7.6,39,4.7,676.17,38.9,8,4.4,77.34,52.3,5,4.7,42.11,21.5,8,4.4,77.34,53.5,1,4.1,2.84,9.2,24000,120.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3,Mixed-Use Locality,11.0,17.0,8.0,14.0,4.0,39.0,8.0,5.0,8.0,1.0,0.5,0.32,0.96,-66.7,0.74,0.6,23.3,0.5,1.8,-72.2,0.49,0.36,36.1,0.08,0.48,-83.3,1.07,0.72,48.6,2.09,2.4,-12.9,0.75,3.6,-79.2,1.34,0.84,59.5,0.3,1.44,-79.2,Saturated,Growing,Growing,Saturated,Saturated,Growing,Growing,Growing,Growing,Saturated,23.4,12.4,8.9,-8.1,5.1,-2.9,13.9,-0.1,6.4,2.4,31.2,-7.8,4.6,-3.4,3.9,-1.1,4.5,-3.5,1.6,0.6
Deonar,M/E,19.0457,72.9186,Eastern Suburbs,2,14,4,16,12,6,2,16,4,46,6,8,2,12,3.6,110.81,9.8,5,4.0,35.84,7.6,4,3.7,23.82,12.2,20,4.2,255.74,41.3,12,4.0,123.12,37.2,25,4.4,358.39,20.6,8,4.5,79.1,53.5,3,4.5,18.71,9.6,0,0.0,0.0,0.0,3,3.8,15.8,51.1,26000,130.0,moderate,15.1,15.8,12.6,10.3,8.4,17.5,6.382978723404255,44.44444444444444,34.66666666666667,1,Mixed-Use Locality,0.745,0.311,0.248,1.242,0.745,1.553,0.497,0.186,0.0,0.186,0.7423756019261637,0.44,1.04,-57.7,0.2,0.65,-69.2,0.23,1.95,-88.2,1.23,0.39,215.4,0.55,0.52,5.8,0.84,0.78,7.7,3.18,2.6,22.3,0.5,3.9,-87.2,0.0,0.91,-100.0,2.47,1.56,58.3,Low Demand,Low Demand,Low Demand,Growing,Growing,Low Demand,Growing,Low Demand,Low Demand,Growing,13.8,1.8,7.5,2.5,4.2,0.2,13.2,-6.8,9.4,-2.6,24.2,-0.8,3.5,-4.5,1.4,-1.6,2.2,2.2,0.8,-2.2
Shivaji Nagar (E),M/E,19.0355,72.9281,Eastern Suburbs,0,0,0,16,12,6,2,8,10,32,0,4,2,22,4.8,331.11,29.2,17,4.6,226.03,47.7,9,4.3,89.11,45.6,15,4.5,187.15,30.2,14,4.1,155.44,46.9,43,4.3,699.7,40.3,1,4.0,2.77,1.9,9,4.2,87.04,44.5,5,4.5,40.31,27.9,3,4.8,19.96,64.6,24000,120.0,moderate,11.0,11.4,11.6,7.6,3.2,16.0,6.382978723404255,44.44444444444444,32.0,1,Mixed-Use Locality,1.833,1.417,0.75,1.25,1.167,3.583,0.083,0.75,0.417,0.25,0.6765650080256822,1.19,0.96,24.0,1.13,0.6,88.3,0.77,1.8,-57.2,0.82,0.36,127.8,0.63,0.48,31.3,1.5,0.72,108.3,0.1,2.4,-95.8,2.11,3.6,-41.4,0.94,0.84,11.9,2.84,1.44,97.2,Growing,Growing,Growing,Growing,Growing,Growing,Low Demand,Growing,Growing,Growing,16.0,-6.0,7.6,-9.4,3.5,-5.5,15.6,0.6,8.5,-5.5,20.2,-22.8,4.2,3.2,3.1,-5.9,2.6,-2.4,1.1,-1.9
